City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Sorong,ID,80.2,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
526,Manuk Mangkaw,PH,82.04,broken clouds,4.8,119.85,
542,Voh,NC,83.71,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
546,Houston,US,85.21,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
548,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
552,Rayadrug,IN,80.94,clear sky,14.7,76.8667,Suresh Naik plot
591,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
610,Ettaiyapuram,IN,80.26,clear sky,9.1441,77.9907,NR Mahal & Rooms
612,Buala,SB,81.57,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
614,Formosa,AR,80.58,few clouds,-26.1775,-58.1781,Asterión Hotel
616,Mamallapuram,IN,82.45,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
627,Vung Tau,VN,80.85,overcast clouds,10.346,107.0843,Seaside Resort
629,Porto Novo,BJ,84.02,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
649,Sabang,ID,82.65,clear sky,5.8933,95.3214,Hotel Citra
657,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
660,Moroni,KM,80.78,overcast clouds,-11.7022,43.2551,Hotel les Arcades
688,Ghatanji,IN,82.06,few clouds,20.1333,78.3167,गजानन माहराज मदील घाटजी
696,Merauke,ID,80.06,overcast clouds,-8.4667,140.3333,
706,Cairns,AU,83.1,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
718,Huixtla,MX,86.97,overcast clouds,15.15,-92.4667,Rocky Point Sonoran Sky
724,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
730,Kyabe,TD,83.48,scattered clouds,9.4515,18.9449,
