City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
60,Leningradskiy,69.3833,178.4167,-0.85,83,14,2.91,few clouds,RU,2022-03-27 22:52:18
61,Cherskiy,68.75,161.3,3.99,91,99,8.5,overcast clouds,RU,2022-03-27 22:52:18
62,Puerto Ayora,-0.7393,-90.3518,84.16,78,97,11.79,overcast clouds,EC,2022-03-27 22:52:18
63,Provideniya,64.3833,-173.3,19.51,73,0,0.0,clear sky,RU,2022-03-27 22:52:19
64,Coruripe,-10.1256,-36.1756,79.0,83,87,9.62,overcast clouds,BR,2022-03-27 22:51:19
65,Port Elizabeth,-33.918,25.5701,66.49,96,0,9.22,clear sky,ZA,2022-03-27 22:51:15
66,Tual,-5.6667,132.75,79.66,81,100,15.28,moderate rain,ID,2022-03-27 22:52:19
67,Hami,42.8,93.45,48.11,37,100,14.67,overcast clouds,CN,2022-03-27 22:51:29
68,Krutinka,56.0055,71.5113,3.11,100,97,6.53,overcast clouds,RU,2022-03-27 22:52:20
69,Tuktoyaktuk,69.4541,-133.0374,-7.6,64,0,9.22,clear sky,CA,2022-03-27 22:52:20
70,Chuy,-33.6971,-53.4616,64.13,71,0,1.34,clear sky,UY,2022-03-27 22:49:27
71,Butaritari,3.0707,172.7902,81.03,65,90,7.67,overcast clouds,KI,2022-03-27 22:52:21
72,Arman,59.7,150.1667,11.07,74,100,11.34,overcast clouds,RU,2022-03-27 22:52:21
73,Russell,32.3502,-85.1999,72.68,29,40,13.8,scattered clouds,US,2022-03-27 22:48:44
74,Bhandara,21.1667,79.65,78.82,14,58,3.6,broken clouds,IN,2022-03-27 22:52:21
75,Hilo,19.7297,-155.09,80.33,59,0,10.36,clear sky,US,2022-03-27 22:52:22
76,Sechura,-5.5569,-80.8222,80.13,56,88,14.61,overcast clouds,PE,2022-03-27 22:52:22
77,Skjervoy,70.0311,20.9714,21.2,69,98,24.49,overcast clouds,NO,2022-03-27 22:52:23
78,Nikolskoye,59.7035,30.7861,26.71,85,100,8.99,overcast clouds,RU,2022-03-27 22:48:00
79,Ossora,59.2353,163.0719,26.82,95,100,17.4,snow,RU,2022-03-27 22:52:23
80,Longyearbyen,78.2186,15.6401,8.44,66,36,11.5,scattered clouds,SJ,2022-03-27 22:52:24
81,Hun,29.1268,15.9477,66.47,10,13,8.81,few clouds,LY,2022-03-27 22:52:24
82,Santa Lucia,27.9117,-15.5407,58.32,68,20,10.36,few clouds,ES,2022-03-27 22:52:24
83,Vostok,46.4856,135.8833,23.7,91,100,4.81,light snow,RU,2022-03-27 22:52:25
84,Santa Barbara,34.7333,-120.0343,55.74,72,0,27.63,clear sky,US,2022-03-27 22:49:35
85,Oudtshoorn,-33.5907,22.2014,59.36,34,30,4.85,scattered clouds,ZA,2022-03-27 22:52:25
86,Avarua,-21.2078,-159.775,84.25,79,75,6.91,broken clouds,CK,2022-03-27 22:47:42
87,Port Macquarie,-31.4333,152.9167,67.89,100,75,0.0,light rain,AU,2022-03-27 22:52:26
88,Tommot,58.9564,126.2925,15.89,86,100,2.55,overcast clouds,RU,2022-03-27 22:52:26
89,Klaksvik,62.2266,-6.589,40.12,83,100,13.96,overcast clouds,FO,2022-03-27 22:49:36
90,Itarema,-2.9248,-39.9167,77.68,89,100,8.34,overcast clouds,BR,2022-03-27 22:52:27
91,Carutapera,-1.195,-46.02,76.57,90,100,5.88,moderate rain,BR,2022-03-27 22:52:27
92,Richards Bay,-28.783,32.0377,72.3,82,94,2.91,light rain,ZA,2022-03-27 22:52:28
93,Schoningen,52.138,10.9675,48.99,79,4,4.29,clear sky,DE,2022-03-27 22:52:28
94,Sorland,67.667,12.6934,36.48,92,100,10.8,light rain,NO,2022-03-27 22:52:28
95,Tautira,-17.7333,-149.15,81.36,75,65,14.56,light rain,PF,2022-03-27 22:52:29
96,Araouane,18.9048,-3.5265,84.2,16,50,10.58,scattered clouds,ML,2022-03-27 22:52:29
97,Cap Malheureux,-19.9842,57.6142,76.46,84,0,1.99,clear sky,MU,2022-03-27 22:52:30
98,Beloha,-25.1667,45.05,72.5,90,100,10.25,overcast clouds,MG,2022-03-27 22:52:30
99,Alta Floresta,-9.8756,-56.0861,78.62,94,20,3.44,few clouds,BR,2022-03-27 22:52:30
100,Norman Wells,65.282,-126.8329,6.84,66,75,8.05,light snow,CA,2022-03-27 22:52:31
101,Dikson,73.5069,80.5464,-17.93,100,21,3.56,few clouds,RU,2022-03-27 22:51:11
102,Komsomolskiy,40.4272,71.7189,45.32,61,5,6.91,clear sky,UZ,2022-03-27 22:52:32
103,Pilar,-9.5972,-35.9567,76.93,91,91,4.36,light rain,BR,2022-03-27 22:52:32
104,Kodiak,57.79,-152.4072,33.31,100,100,31.07,heavy snow,US,2022-03-27 22:52:32
105,Mareeba,-17.0,145.4333,78.48,70,93,2.8,overcast clouds,AU,2022-03-27 22:52:33
106,Kruisfontein,-34.0033,24.7314,63.88,81,81,5.23,broken clouds,ZA,2022-03-27 22:52:33
107,Waipawa,-41.4122,175.5153,56.95,77,95,7.7,overcast clouds,NZ,2022-03-27 22:52:34
108,Dawlatabad,36.4141,64.9053,48.88,51,0,3.56,clear sky,AF,2022-03-27 22:52:34
109,Cape Town,-33.9258,18.4232,69.12,67,0,6.91,clear sky,ZA,2022-03-27 22:50:48
110,Port Blair,11.6667,92.75,80.53,78,19,5.79,few clouds,IN,2022-03-27 22:52:34
111,Matay,28.419,30.7792,56.57,45,0,16.84,clear sky,EG,2022-03-27 22:52:35
112,Dauphin,51.1494,-100.0502,23.14,58,75,11.5,broken clouds,CA,2022-03-27 22:52:38
113,Touros,-5.1989,-35.4608,80.1,83,50,10.36,scattered clouds,BR,2022-03-27 22:52:38
114,Riyadh,24.6877,46.7219,60.94,26,0,9.62,clear sky,SA,2022-03-27 22:52:20
115,Saint-Philippe,-21.3585,55.7679,78.39,86,98,8.79,overcast clouds,RE,2022-03-27 22:48:20
116,New Norfolk,-42.7826,147.0587,63.91,60,93,2.26,light rain,AU,2022-03-27 22:52:39
117,Praia,14.9215,-23.5087,70.34,73,20,12.66,few clouds,CV,2022-03-27 22:52:39
118,Lompoc,34.6391,-120.4579,64.62,66,100,31.0,overcast clouds,US,2022-03-27 22:52:40
119,Phulji,26.8825,67.6807,83.95,16,0,8.57,clear sky,PK,2022-03-27 22:52:40
120,Cidreira,-30.1811,-50.2056,69.31,80,0,7.52,clear sky,BR,2022-03-27 22:48:37
121,Bethel,41.3712,-73.414,39.29,63,100,15.01,overcast clouds,US,2022-03-27 22:52:41
122,Hearst,49.6835,-83.6665,8.85,86,100,10.16,overcast clouds,CA,2022-03-27 22:52:41
123,Camocim,-2.9022,-40.8411,77.76,89,100,10.0,overcast clouds,BR,2022-03-27 22:52:41
124,Rio Grande,-32.035,-52.0986,73.51,66,1,0.36,clear sky,BR,2022-03-27 22:51:52
125,Coihaique,-45.5752,-72.0662,48.81,93,100,6.91,light rain,CL,2022-03-27 22:52:42
126,Krasnyy Chikoy,50.3643,108.7512,20.48,91,97,3.4,overcast clouds,RU,2022-03-27 22:52:42
127,Nouakchott,18.0858,-15.9785,64.33,81,82,13.35,broken clouds,MR,2022-03-27 22:52:43
128,Horstel,52.3167,7.5833,46.11,78,3,5.82,clear sky,DE,2022-03-27 22:52:43
129,Lander,42.833,-108.7307,70.61,19,0,4.61,clear sky,US,2022-03-27 22:52:43
130,Punta Arenas,-53.15,-70.9167,48.31,66,0,21.85,clear sky,CL,2022-03-27 22:50:51
131,Constantine,36.365,6.6147,49.41,87,40,0.0,scattered clouds,DZ,2022-03-27 22:52:44
132,Haines Junction,60.7522,-137.5108,37.35,41,94,4.61,overcast clouds,CA,2022-03-27 22:52:44
133,Mogzon,51.7435,111.9606,8.98,93,92,3.4,overcast clouds,RU,2022-03-27 22:52:45
134,Lillesand,58.2488,8.3778,44.64,70,0,6.91,clear sky,NO,2022-03-27 22:52:49
135,Egvekinot,66.3167,-179.1667,3.99,85,9,0.31,clear sky,RU,2022-03-27 22:48:58
136,Torbay,47.6666,-52.7314,41.29,90,100,14.97,overcast clouds,CA,2022-03-27 22:52:49
137,Arraial Do Cabo,-22.9661,-42.0278,78.66,89,40,5.75,light intensity drizzle,BR,2022-03-27 22:52:50
138,Severo-Kurilsk,50.6789,156.125,33.26,90,79,25.7,light snow,RU,2022-03-27 22:52:50
139,Flin Flon,54.7682,-101.865,19.24,30,75,9.22,broken clouds,CA,2022-03-27 22:52:51
140,Cabo San Lucas,22.8909,-109.9124,87.62,44,9,9.46,clear sky,MX,2022-03-27 22:51:30
141,Thompson,55.7435,-97.8558,14.16,26,40,0.0,scattered clouds,CA,2022-03-27 22:51:09
